                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.063,                 2.6511,                 1.4852,                0.00333,                      1,                0.26684,                0.11157,                0.42238,                 2.9018,                 1.1072,                  8e-05,                  8e-05,                  8e-05
                      2,                0.67944,                 2.4178,                 1.2202,                0.00333,                      1,                0.91929,                0.76056,                0.29466,                 2.8039,                0.92946,             0.00017109,             0.00017109,             0.00017109
                      3,                0.37504,                 1.7014,                 1.0268,                0.50718,                0.77778,                0.81167,                0.60711,                0.34079,                  2.519,                 0.9359,             0.00025228,             0.00025228,             0.00025228
                      4,                0.36784,                 1.1999,                0.96877,                      1,                0.43947,                0.94306,                0.77897,                0.42863,                 2.4211,                0.96546,             0.00032357,             0.00032357,             0.00032357
                      5,                0.33281,                 1.0964,                0.95197,                0.08412,                      1,                  0.951,                0.65961,                0.83955,                 2.7036,                 1.3836,             0.00038496,             0.00038496,             0.00038496
                      6,                0.34072,                0.87345,                0.96022,                0.88769,                0.87931,                0.96278,                0.67081,                0.87896,                 2.0598,                 1.4747,             0.00043645,             0.00043645,             0.00043645
                      7,                0.32414,                0.83749,                0.96334,                0.68535,                0.96987,                0.87365,                0.66849,                0.55921,                 1.8691,                 1.1243,             0.00047804,             0.00047804,             0.00047804
                      8,                0.30923,                0.75875,                0.89939,                0.86107,                0.88889,                0.91905,                0.81892,                0.46301,                 1.6549,                0.99567,             0.00050973,             0.00050973,             0.00050973
                      9,                0.32915,                0.71526,                0.93142,                0.94128,                      1,                  0.995,                0.95929,                0.36976,                 1.3386,                0.95852,             0.00053152,             0.00053152,             0.00053152
                     10,                0.32764,                0.68282,                0.95537,                0.97846,                      1,                  0.995,                0.95792,                 0.3374,                 1.4875,                0.92545,             0.00054341,             0.00054341,             0.00054341
                     11,                0.36716,                 1.5285,                 1.0413,                      1,                0.99361,                  0.995,                0.87654,                 0.5234,                 1.6944,                 1.0664,              0.0005454,              0.0005454,              0.0005454
                     12,                0.33861,                 1.3104,                0.96394,                0.99463,                      1,                  0.995,                0.86413,                0.62427,                 1.5668,                 1.2266,             0.00053749,             0.00053749,             0.00053749
                     13,                 0.2678,                 1.1004,                0.88425,                0.99432,                      1,                  0.995,                0.85714,                0.53604,                 1.5935,                 1.0752,             0.00051968,             0.00051968,             0.00051968
                     14,                0.48882,                 1.3609,                 1.0923,                0.99389,                      1,                  0.995,                0.92967,                0.37374,                 1.4889,                0.93579,             0.00049197,             0.00049197,             0.00049197
                     15,                0.30132,                 1.1238,                0.91961,                0.99511,                      1,                  0.995,                0.98402,                0.38719,                 1.4059,                 1.0122,             0.00045436,             0.00045436,             0.00045436
                     16,                 0.2759,                 1.0808,                0.92241,                 0.9949,                      1,                  0.995,                0.96615,                0.38571,                 1.2754,                0.99728,             0.00040685,             0.00040685,             0.00040685
                     17,                0.30637,                 1.0145,                0.90547,                0.98972,                      1,                  0.995,                0.97418,                0.32598,                 1.2882,                0.90031,             0.00034944,             0.00034944,             0.00034944
                     18,                0.28225,                  1.006,                0.94808,                0.98132,                      1,                  0.995,                0.95581,                0.30649,                 1.1878,                0.87855,             0.00028213,             0.00028213,             0.00028213
                     19,                0.24274,                 0.9363,                0.90632,                0.98039,                      1,                  0.995,                0.95836,                0.28698,                 1.1544,                0.87029,             0.00020492,             0.00020492,             0.00020492
                     20,                0.24343,                0.92274,                0.90057,                0.98755,                      1,                  0.995,                0.97546,                 0.2875,                 1.0839,                0.86913,             0.00011781,             0.00011781,             0.00011781
